node,total_fee,capacity,routed_payments,ratio
02fe80fb6a2dc0fb6e9bec49c76d048889c91355d4e900fcb026bf095665790325,72409,858987649,191,8.429574055493783e-05
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,3460271,4157281766,1437,0.000832339782282633
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,2454356,4818157452,3662,0.0005093972175984423
0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c,127458,1402898221,189,9.085334779963343e-05
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,275377,1873396733,568,0.00014699342384302108
038398286d47300a40381620e2f738c43a572fb770f42fba34e42f8fa9712e61ca,14090,108687500,10,0.0001296377228292122
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,672968,2718546034,992,0.0002475470312378017
035d6f5b496f0a8bd3a05fb40b8bf7423afed11a8f2671a1980f6911b1be1685eb,966000,359566603,644,0.002686567639876165
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,276448,1764777934,443,0.00015664747086530605
0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,98031,2747327547,94,3.568231247382459e-05
03c1f2781c735c0538745657447f546f50d401ae44cbd9d0fbbe6538337be14ba3,0,79657654,490,0.0
02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,97966,295135078,150,0.00033193614484551374
03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a,13722,1468704568,127,9.342927297275214e-06
02bce4f7ae5b2d51c18575b3f277e296d9df800a54d749d7a3145c9e40237e4011,16834,993099107,130,1.6950976877678333e-05
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,223000,5236513957,356,4.258558304841352e-05
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,79965,1156389095,261,6.91506002138493e-05
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,33330,1414621170,53,2.356107819311088e-05
02bb5e47ee26aca1654ce092d9d06eac15d953210c737f2220e2d7e54c4f108677,30300,167467524,30,0.00018093060240145426
02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,17200,1135745876,51,1.5144232845975133e-05
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,359390,6450526948,914,5.571482809035154e-05
039174f846626c6053ba80f5443d0db33da384f1dde135bf7080ba1eec465019c3,214390,274870364,632,0.0007799676796004097
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,3465601,38081460479,768,9.100493931715418e-05
03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9,42000,1393920424,193,3.013084482934587e-05
02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924,577160,292642984,178,0.0019722324865304136
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,16510,1850976387,80,8.919616757920316e-06
0372bd00e7c43efd583623d8fa688141b91e00d0ad65b29b630bf7188804da50aa,2110,163278214,6,1.2922728319407021e-05
037e27d212432eaf499e4fb648d996944f3454c094dab36336bac573f82211a335,15812,1732577387,29,9.1262878753017e-06
02fc6bf390208dda96f489491b5c79830c39dfc07c998cc5f469ce3801cd01c5b2,17000,51557327,92,0.0003297300498142582
0299797daa21faa6e4151517b286c41d4c7a8cb21fbfba59ca3bcd21a9f8392bd4,71463,1414592628,99,5.05184309500021e-05
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,1744720,20727060631,642,8.417594906778752e-05
