node,total_fee,capacity,routed_payments,ratio
02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c,11513,625489058,11,1.840639712677436e-05
0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f,5000,101037837,28,4.9486411709308464e-05
024a8228d764091fce2ed67e1a7404f83e38ea3c7cb42030a2789e73cf3b341365,5272,248777870,34,2.1191595538622466e-05
026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f,203706,1386051548,256,0.00014696855993122127
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,363933,2718546034,1042,0.0001338704570194525
0299797daa21faa6e4151517b286c41d4c7a8cb21fbfba59ca3bcd21a9f8392bd4,68512,1414592628,185,4.843231800017552e-05
02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,157516,295135078,200,0.0005337081619284849
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,175041,6450526948,1132,2.7135922601528212e-05
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,26060,1014506547,80,2.5687365031859177e-05
029221ee9b72b7b1be2cb09610839bef2ea286ba1d7da9fc184731abb789a8fed0,22436,214050499,70,0.00010481638727691076
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,1520491,4818157452,3644,0.0003155751996790494
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,18950,1488799867,433,1.2728372980167656e-05
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,30440,1238190138,87,2.4584269463790545e-05
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,1849910,4157281766,1639,0.0004449806638388917
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,235071,1128840229,418,0.00020824116111474976
02644f80b5d32ed9a9888690571159692a17d7ead7db2df5124a8e2a72a8447d30,20000,169538607,10,0.00011796723090924063
0369a6185476b5d0372f526bc99d7614ff83fc0bfb11821b6e3c978ee64bcc865c,1140,201231642,3,5.6651130442000765e-06
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,707847,1136461122,577,0.0006228519271774966
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,174740,1414621170,263,0.00012352423652757863
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,69400,918376602,145,7.556812733345313e-05
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,159310,2134898847,458,7.462180244458204e-05
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,624377,1873396733,1697,0.000333286051481547
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,100240,1850976387,641,5.415520192694927e-05
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,582491,5236513957,1462,0.00011123640742355803
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,40110,1099654733,104,3.647508513019786e-05
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,83920,1733657311,204,4.8406336977631214e-05
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,8800,805970426,104,1.0918514769424059e-05
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,77614,1115564802,155,6.957372611689841e-05
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,2082260,20727060631,1137,0.00010046094026886335
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,572457,1764777934,966,0.000324379055841028
02fe80fb6a2dc0fb6e9bec49c76d048889c91355d4e900fcb026bf095665790325,62536,858987649,357,7.280197808758016e-05
02bb10aaa77a95a358cebb2d112c4de00e47c08f56e89b1acb4487ddd44cc98d6d,1130,239722607,13,4.713781541679964e-06
03f5dcf253ca5ab4a8a0ad27bc5d8787ca920610902425b060311530cb511e9545,148470,535034710,184,0.0002774960151650722
02572c2e1b43a78bb060e7d322b033443efc0d8d60fc2b111dd8bb999aa940d1f5,2950,189718947,10,1.5549316747999872e-05
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,25050,1653460957,78,1.5150040219546593e-05
02f3d9e33a2de53e128ae1821f0cff02f7e8c9b6872d949f0ebb0c8e388bad82ac,5850,1144420100,16,5.111759221985004e-06
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,159871,13921120783,61,1.1484060981298936e-05
03c1f2781c735c0538745657447f546f50d401ae44cbd9d0fbbe6538337be14ba3,0,79657654,54,0.0
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,4069669,38081460479,1216,0.00010686746119530308
0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c,319390,1402898221,762,0.000227664413012325
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,261604,1156389095,771,0.00022622489362025678
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,353290,2308133333,248,0.00015306308129990512
035352d5960c7f86263e079f29707144088709332e781246b306370ca7e0a64183,2500,354499895,27,7.052188266515566e-06
03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,64670,312591240,118,0.00020688359661006494
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,126612,1362481098,220,9.292752771825977e-05
02a1d2856be336a58af08989aea0d8c41e072ccc392c46f8ce0e6e069f002035f3,0,103970677,12,0.0
03eefcc2c803a4aad64d92a5633d8c6f75d6b72827d099d9cb31a82a0615dcc767,10080,155098850,164,6.499081069911221e-05
02d695b01c7a6909e716c863fb39bc5fb7bbdc3824b7fdce53adc593e5be080e73,13200,246827756,12,5.347858852632441e-05
03b89b8f369f8fd7facd3b1a665415052838a5a40f99534141d1dd2805afd0346e,9430,75638607,14,0.00012467178302212785
029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad,29290,887595210,29,3.299927677617819e-05
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,97470,1983586144,148,4.9138274279052435e-05
03b9aacb265dc5ebde04b91b28f7c8bb6ba0af146e5f37426915742daf8f195a09,58190,658387339,66,8.83826230443353e-05
02f1246b8fe904a5c5193504d8069532b1fb8692b84fb3eb64318b201238f60ff1,2520,44312419,7,5.686893328933363e-05
02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,133070,193554428,183,0.0006875068753270786
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,272526,4225757269,475,6.449163609070515e-05
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,913899,1750545611,412,0.000522065231695354
035b710d2c8d25993ddcbe031c0fee5434d5e6fb7a6ed5d438404daa99199537b8,1000,364123881,53,2.7463180861790276e-06
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,68400,1171197015,77,5.8401788191032914e-05
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,7140,16172789550,39,4.414822797221151e-07
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,86659,8734397330,201,9.921577497093322e-06
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,36598,1511997130,107,2.4205072399839805e-05
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,49650,1491241407,98,3.329440811322643e-05
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,36608,406951897,156,8.99565778409432e-05
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,22340,1160212816,99,1.925508811135215e-05
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,2312,2871684733,21,8.051023057759871e-07
02aace31b8120e29cfc29d991b63fe8614cddd3fbf6148431cc3a68932c363ed29,36360,259435297,36,0.00014015055168071445
02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420,10090,253435374,10,3.981291104216572e-05
03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9,45948,1393920424,302,3.2963144243304376e-05
022eb09a7993a0edde69537b420f4119c0de833e0ee47651753b46bf884db75235,4590,98940107,9,4.639170240638612e-05
033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9,50552,1485701102,115,3.4025686547548914e-05
033d9e73a183c9714545f292875fb90c4372bddc9c2cc302b265d15e7969a5ed60,72510,1267618589,233,5.72017487193855e-05
