ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,576410,37109,6.880944036818029,539301.0
1,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,320519,-218782,-40.567697816247325,539301.0
2,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,674530,135229,25.07486542765543,539301.0
3,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,248460,-290841,-53.92925286621015,539301.0
4,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,480451,-58850,-10.912273479930503,539301.0
5,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,546656,7355,1.3638024034815437,539301.0
6,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,438509,-100792,-18.689377546119886,539301.0
7,03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,760369,221068,40.991579841313104,539301.0
8,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,629551,90250,16.734625005330976,539301.0
9,03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7,674238,134937,25.02072126697336,539301.0
