ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,786016,415586,112.19015738466106,370430.0
1,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,211122,-159308,-43.00623599600464,370430.0
2,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,1161506,791076,213.55613746186864,370430.0
3,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,543751,173321,46.78913694895122,370430.0
4,02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,299862,-70568,-19.050292902842642,370430.0
5,02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924,257330,-113100,-30.53208433442216,370430.0
6,03f5dcf253ca5ab4a8a0ad27bc5d8787ca920610902425b060311530cb511e9545,471241,100811,27.21458845125935,370430.0
7,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,233731,-136699,-36.90278865102719,370430.0
8,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,730980,360550,97.33282941446427,370430.0
9,0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c,491162,120732,32.59239262478741,370430.0
