ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,392225,-608841,-60.81926666173859,1001066.0
1,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,298840,-702226,-70.1478224212989,1001066.0
2,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,588900,-412166,-41.17270989125592,1001066.0
3,03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,560945,-440121,-43.96523306155638,1001066.0
4,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,449599,-551467,-55.0879762173523,1001066.0
5,02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,217729,-783337,-78.25028519598108,1001066.0
6,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,191249,-809817,-80.89546543384752,1001066.0
7,02150e753d33ecf6d2de4173cc1ce941d9bf8900de7f4407ac3df5e078df91dcce,599876,-401190,-40.07627868691974,1001066.0
8,039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,460021,-541045,-54.04688601950321,1001066.0
9,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,857800,-143266,-14.311344107181744,1001066.0
