node,total_fee,capacity,routed_payments,ratio
0372bd00e7c43efd583623d8fa688141b91e00d0ad65b29b630bf7188804da50aa,1010,163278214,1,6.185760949100044e-06
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,59152,4225757269,130,1.3997964443896695e-05
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,50170,1870896733,186,2.681601774970869e-05
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,26670,1855976387,135,1.4369794888990686e-05
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,35490,6550526948,250,5.417884741445995e-06
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,13100,1783657311,28,7.344460126511376e-06
03c91650dafc58f35cb862c3e5b67d281b42b2b0f2c36251c017c9aae0821c841b,1270,110325000,4,1.1511443462497168e-05
02ff30e83896d453cfc89ff4dd06d23d793b7246f154c210324adc1d42c849ce74,3130,1036370114,5,3.0201565615582775e-06
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,23480,1988586144,33,1.1807383889727031e-05
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,16283,3969153985,40,4.102385561642553e-06
02fe80fb6a2dc0fb6e9bec49c76d048889c91355d4e900fcb026bf095665790325,2860,860599042,27,3.3232665392625432e-06
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,58621,4082281766,86,1.4359861312914577e-05
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,137240,4778207452,259,2.8722068135102812e-05
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,5950,2159898847,35,2.754758635231588e-06
037c0bb263a4fe95f0ed598b50cf51e5732a6bc1c48d1c81c5e89f2442939dffdd,3000,559226366,3,5.364553930921061e-06
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,278736,38081460479,109,7.319467176257823e-06
020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c,3910,839995049,8,4.654789340311933e-06
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,92724,20752060631,112,4.468182781881734e-06
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,74749,1758934219,35,4.249675695234172e-05
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,33240,2673546034,66,1.2432926000630067e-05
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,74429,16790679564,133,4.432756858726507e-06
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,165489,1814777934,152,9.118966949043805e-05
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,128671,5244863957,181,2.453276215644653e-05
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,2220,1248190138,10,1.7785751805066737e-06
0305f5f4013f6c6eeb097bd8607204ec1f31577a05fae35f0d857c54d3b52e4e45,3750,295755171,7,1.2679406372915116e-05
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,15420,855970426,20,1.8014641080602006e-05
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,10891,1137228837,14,9.576788457748192e-06
03120e72271aae5504c052011ec9bf28217534448406582f9f154f67a637c4e145,4130,156598390,4,2.6373195790837952e-05
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,1382,1119814802,12,1.23413264187233e-06
03e81689bfd18d0accb28d720ed222209b1a5f2c6825308772beac75b1fe35d491,3230,418871656,8,7.71119256634543e-06
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,9700,904230995,27,1.0727347385387956e-05
