ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,02fc6bf390208dda96f489491b5c79830c39dfc07c998cc5f469ce3801cd01c5b2,49021,49021,0,0.0
1,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,454036,454036,0,0.0
2,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,243422,243422,0,0.0
3,02d9cc40c92433c44bdc0a65aef373f8cddf9e296ea4fac5e33618d6a48578dcb5,29080,29080,0,0.0
4,02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,85290,85290,0,0.0
5,02aace31b8120e29cfc29d991b63fe8614cddd3fbf6148431cc3a68932c363ed29,13300,13300,0,0.0
6,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,243940,243940,0,0.0
7,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,120739,120739,0,0.0
8,03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,145290,145290,0,0.0
9,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,1091956,1091956,0,0.0
